holiday_type,pre_trade_date,post_trade_date,closure_start,closure_end,gap_days
春节,2016-02-05,2016-02-15,2016-02-06,2016-02-14,9
清明,2016-04-01,2016-04-05,2016-04-02,2016-04-04,3
五一,2016-04-29,2016-05-03,2016-04-30,2016-05-02,3
端午,2016-06-08,2016-06-13,2016-06-09,2016-06-12,4
中秋,2016-09-14,2016-09-19,2016-09-15,2016-09-18,4
国庆,2016-09-30,2016-10-10,2016-10-01,2016-10-09,9
其他,2016-12-30,2017-01-03,2016-12-31,2017-01-02,3
春节,2017-01-26,2017-02-03,2017-01-27,2017-02-02,7
清明,2017-03-31,2017-04-05,2017-04-01,2017-04-04,4
五一,2017-04-28,2017-05-02,2017-04-29,2017-05-01,3
端午,2017-05-26,2017-05-31,2017-05-27,2017-05-30,4
国庆,2017-09-29,2017-10-09,2017-09-30,2017-10-08,9
其他,2017-12-29,2018-01-02,2017-12-30,2018-01-01,3
春节,2018-02-14,2018-02-22,2018-02-15,2018-02-21,7
清明,2018-04-04,2018-04-09,2018-04-05,2018-04-08,4
五一,2018-04-27,2018-05-02,2018-04-28,2018-05-01,4
端午,2018-06-15,2018-06-19,2018-06-16,2018-06-18,3
中秋,2018-09-21,2018-09-25,2018-09-22,2018-09-24,3
国庆,2018-09-28,2018-10-08,2018-09-29,2018-10-07,9
其他,2018-12-28,2019-01-02,2018-12-29,2019-01-01,4
春节,2019-02-01,2019-02-11,2019-02-02,2019-02-10,9
清明,2019-04-04,2019-04-08,2019-04-05,2019-04-07,3
五一,2019-04-30,2019-05-06,2019-05-01,2019-05-05,5
端午,2019-06-06,2019-06-10,2019-06-07,2019-06-09,3
中秋,2019-09-12,2019-09-16,2019-09-13,2019-09-15,3
国庆,2019-09-30,2019-10-08,2019-10-01,2019-10-07,7
春节,2020-01-23,2020-02-03,2020-01-24,2020-02-02,10
清明,2020-04-03,2020-04-07,2020-04-04,2020-04-06,3
五一,2020-04-30,2020-05-06,2020-05-01,2020-05-05,5
端午,2020-06-24,2020-06-29,2020-06-25,2020-06-28,4
国庆,2020-09-30,2020-10-09,2020-10-01,2020-10-08,8
元旦,2020-12-31,2021-01-04,2021-01-01,2021-01-03,3
春节,2021-02-10,2021-02-18,2021-02-11,2021-02-17,7
清明,2021-04-02,2021-04-06,2021-04-03,2021-04-05,3
五一,2021-04-30,2021-05-06,2021-05-01,2021-05-05,5
端午,2021-06-11,2021-06-15,2021-06-12,2021-06-14,3
中秋,2021-09-17,2021-09-22,2021-09-18,2021-09-21,4
国庆,2021-09-30,2021-10-08,2021-10-01,2021-10-07,7
元旦,2021-12-31,2022-01-04,2022-01-01,2022-01-03,3
春节,2022-01-28,2022-02-07,2022-01-29,2022-02-06,9
清明,2022-04-01,2022-04-06,2022-04-02,2022-04-05,4
五一,2022-04-29,2022-05-05,2022-04-30,2022-05-04,5
端午,2022-06-02,2022-06-06,2022-06-03,2022-06-05,3
中秋,2022-09-09,2022-09-13,2022-09-10,2022-09-12,3
国庆,2022-09-30,2022-10-10,2022-10-01,2022-10-09,9
其他,2022-12-30,2023-01-03,2022-12-31,2023-01-02,3
春节,2023-01-20,2023-01-30,2023-01-21,2023-01-29,9
五一,2023-04-28,2023-05-04,2023-04-29,2023-05-03,5
端午,2023-06-21,2023-06-26,2023-06-22,2023-06-25,4
国庆,2023-09-28,2023-10-09,2023-09-29,2023-10-08,10
其他,2023-12-29,2024-01-02,2023-12-30,2024-01-01,3
春节,2024-02-08,2024-02-19,2024-02-09,2024-02-18,10
清明,2024-04-03,2024-04-08,2024-04-04,2024-04-07,4
五一,2024-04-30,2024-05-06,2024-05-01,2024-05-05,5
端午,2024-06-07,2024-06-11,2024-06-08,2024-06-10,3
中秋,2024-09-13,2024-09-18,2024-09-14,2024-09-17,4
国庆,2024-09-30,2024-10-08,2024-10-01,2024-10-07,7
春节,2025-01-27,2025-02-05,2025-01-28,2025-02-04,8
清明,2025-04-03,2025-04-07,2025-04-04,2025-04-06,3
五一,2025-04-30,2025-05-06,2025-05-01,2025-05-05,5
端午,2025-05-30,2025-06-03,2025-05-31,2025-06-02,3
国庆,2025-09-30,2025-10-09,2025-10-01,2025-10-08,8
元旦,2025-12-31,2026-01-05,2026-01-01,2026-01-04,4
