spring_year,holiday_start,holiday_end,pre7_cum_return_pct,post7_cum_return_pct
2016,2016-02-06,2016-02-14,1.021159912474423,5.060221336120585
2017,2017-01-27,2017-02-02,1.6208933308699658,1.8254956438330527
2018,2018-02-15,2018-02-21,-8.267750908407868,1.730779250991521
2019,2019-02-02,2019-02-10,1.4423589075645893,5.248286389058321
2020,2020-01-24,2020-02-02,-4.193706423115673,-2.5148365887350144
2021,2021-02-11,2021-02-17,4.273552998050945,-3.9946727921697955
2022,2022-01-29,2022-02-06,-5.529309225655277,2.5182006282749247
2023,2023-01-21,2023-01-29,3.25687812784603,-0.5120752524056749
2024,2024-02-09,2024-02-18,1.2498707162768463,5.219241214347825
2025,2025-01-28,2025-02-04,0.45023585851584613,2.5190403046762455
